Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Innovation and Skills",UK Space Agency,11/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,241835,38745.00,,SN2 1SZ,WGA ONLY
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Printing and Stationery,UK Space Agency - UK Space Agency,ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL,250485,2256.94,,SN2 1FF,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,23/10/2018,R & D Other Staff Welfare Costs,UK Space Agency - UK Space Agency,A.M. HEALTH & SAFETY LTD,253816,37.50,,SN5 6BD,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,QINETIQ LTD,254217,33320.00,,GU14 0LX,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,QINETIQ LTD,254318,-5000.00,,GU14 0LX,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,17/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,QINETIQ LTD,254318,10000.00,,GU14 0LX,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,01/10/2018,R & D Other Professional Services,UKSA - UKSA,Border Consulting Ltd,255630,571.06,,GU51 3BE,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,01/10/2018,R & D Other Professional Services,UKSA - UKSA,Border Consulting Ltd,255630,16289.65,,GU51 3BE,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,01/10/2018,R & D Other Professional Services,UKSA - UKSA,Border Consulting Ltd,255630,16289.65,,GU51 3BE,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",256572,2.42,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",256572,5.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Rail Travel Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",256572,35.40,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Subsistence Overseas,UKSA - UKSA,"Personal Expense, Name Withheld",256572,39.97,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,Cabinet Office,256868,-3570.00,,FY5 3FW,WGA ONLY
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,Cabinet Office,256868,1230.00,,FY5 3FW,WGA ONLY
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,Cabinet Office,256868,5910.00,,FY5 3FW,WGA ONLY
"Department for Business, Innovation and Skills",UK Space Agency,01/10/2018,R & D Current Grants to Overseas Bodies,UK Space Agency - UK Space Agency,CENTRE NATIONAL D'ETUDES SPATIALES (CNES),256966,127900.00,,31401,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,01/10/2018,R & D Contractors,UKSA - UKSA,Alexander Mann Solutions Ltd,257048,3435.24,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,01/10/2018,R & D Contractors,UK Space Agency - UK Space Agency,Alexander Mann Solutions Ltd,257065,2532.19,,EC2N 3AQ,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,257213,2498072.42,,SN2 1SZ,WGA ONLY
"Department for Business, Innovation and Skills",UK Space Agency,01/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,257222,1895886.64,,SN2 1SZ,WGA ONLY
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Other Professional Services,UKSA - UKSA,UKSEDS,257248,-3000.00,,SW8 1SZ,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,26/10/2018,R & D Other Professional Services,UKSA - UKSA,UKSEDS,257248,6000.00,,SW8 1SZ,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,01/10/2018,R & D Current Grants to Private Sector - NPISH,UKSA - UKSA,GOONHILLY EARTH STATION LTD,257249,3000.00,,TR12 6LQ,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Current Grants to Private Sector - NPISH,UKSA - UKSA,ARCHANGEL LIGHTWORKS LTD,257250,-3000.00,,OX11 0QX,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Current Grants to Private Sector - NPISH,UKSA - UKSA,ARCHANGEL LIGHTWORKS LTD,257250,6000.00,,OX11 0QX,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,SATELLITE APPLICATIONS CATAPULT LTD,257296,6130.00,,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,03/10/2018,R & D Training and Development Expenditure,UK Space Agency - UK Space Agency,LONDON INSTITUTE OF SPACE POLICY AND LAW,257297,950.00,,WC1B 5DR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Current Grants to Private Sector - NPISH,UK Space Agency - UK Space Agency,REACTION ENGINES LTD,257313,495061.00,,OX14 3DB,GRANT
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,SATELLITE APPLICATIONS CATAPULT LTD,257353,-56161.00,,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Professional Services,UK Space Agency - UK Space Agency,SATELLITE APPLICATIONS CATAPULT LTD,257353,123674.20,,OX11 0QR,VENDOR
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257385,3.10,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Taxi Services UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257385,14.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257385,274.50,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257386,4.29,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Subsistence UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257386,4.58,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Mileage Allowance UK,UK Space Agency - UK Space Agency,"Personal Expense, Name Withheld",257386,56.70,,,EMPLOYEE
"Department for Business, Innovation and Skills",UK Space Agency,02/10/2018,R & D Other Travel,UKSA - UKSA,"Personal Expense, Name Withheld",257387,20.00,,,EMPLOYEE
